celltype_new,KLRG1.1,41BB,CD39,CTLA4.1,2B4,Fas,PD1,Tim3,CD69.1,TCRab,CX3CR1.1,CD14.1,CD27.1,CD57,OX40,CD25,TCRgd,CD28.1,CD62L,CD45RA,CD45RO,LAG3.1,IL7RA,TIGIT.1,CCR7.1,CD16,CD70.1,CD161,CD103,CAR,CD4.1,CD8A.1
CD4+ Control,-0.3449503443487578,-0.7248284072917093,-0.6852422632362245,-0.8258707893443968,-0.6697604913105306,0.11741479877432104,-0.7536562270547345,-0.5963489227841967,-0.53304034983397,0.06433814111774216,-0.9481414791002072,-0.9443545553623238,0.017440858186292374,-0.7266735976549756,-0.5749853136070735,-0.7871466357215853,-0.4492377035094066,0.10349140556801029,-0.39070963087157407,0.3211941536890457,-0.34352233263306786,-0.7257073445192714,-0.26203609297254715,0.07990045439377491,-0.1197366631985316,-0.11294457182641171,-0.18923738124369116,-0.6438656845604702,-0.6585336820380159,2.647013753725941,-0.12183826270433151,-0.8090643381614315
CD4+ EOMEShi,0.12332657632545407,0.008250630743300569,-0.07592796371870936,0.06994752013281391,-0.029242468382418618,0.1120934954090087,0.012194060998890865,0.1739996229039722,0.09445083587779379,0.21972646820413022,0.10581179684484443,-0.16505943289195146,0.0616164087275024,-0.06495355927016533,0.13273010295374021,0.13340935567346723,0.24256229627621217,-0.02780062553327234,-0.016280691973633576,0.1930392452758869,-0.027598476923002657,0.16206100101001342,0.3984785316854018,0.09178333531351002,0.22637737298442895,-0.04532151525227346,0.19338750314993525,0.03761599387414094,0.09704570130243861,0.9316810778549958,-1.3767909604368378,-0.029949782399182556
CD4+ Eff PRDM1hi,0.1790372874939279,0.2128736504023836,0.05330003222900803,0.24493100926419542,0.13039493179591366,-0.03250299024809511,0.14735190557549016,0.20282004809353937,0.051551327168195105,0.18144373615687082,0.31149117588861985,0.13212098922908178,-0.03749047054128418,0.10546631461525813,0.2764030468667804,0.24267767176119293,0.2576735914821269,0.03440569662058213,0.14318764216259394,0.24280806729734383,-0.09884316927349346,0.2828810515300755,0.36970459062274763,0.20250350643221982,0.18478413753069,0.02408403571566753,0.16674449134012792,0.18581147075116045,0.2248646169462698,0.12260937218805612,-0.3825844432019858,0.20010940636126762
CD4+ Mem BCL2hi,-0.838346967731658,-1.3719072756857167,-0.8633127144367079,-1.4763292934751737,-1.280027445087084,0.09003231703287629,-1.210719924578739,-1.3181177581164654,-1.0318515621598667,-0.14616374260156872,-1.7764379775185422,-1.651677645537208,-0.25168927072431657,-1.3954202396897872,-1.0797569197482022,-0.6970994547573368,-0.9756277075412891,-0.14253706995628868,-0.7998990369604317,-0.06914680597644196,-0.4329387834519878,-1.479092169966652,-0.7089480364527248,-0.52053530244095,-0.3237283236748336,-0.45654745968183197,-0.44387758798591603,-0.941219943429831,-1.2297007433994247,1.9396797316465233,-0.023586640579273954,-1.476763962210943
CD4+ Mem Patient 2,-1.2196794152838855,-2.061740031884901,-0.7083206254752068,-2.3260331430029058,-2.1999203972244676,0.46459384939865167,-1.9183256700669766,-1.7417377652161607,-1.440036807068775,-0.18526103148817086,-2.814396941412631,-2.401804698509495,-0.16933061430325402,-1.9943616548621004,-2.033443898775359,-2.2306737413314464,-1.4929680489074482,0.2678966009459476,-1.392556211635145,-0.3440758533558548,-0.4389734815321944,-2.2951519184393403,-1.1030933913808543,-0.43644920482517446,-0.6291051731103052,-0.3307962332060568,-0.3347712685868476,-1.8158536567005084,-1.9892774640903506,5.566347030458182,-2.8695799432083033,-2.019587188578046
CD4+ Prolif,-0.4348554066428254,-0.466427213292383,-1.5425143723836046,-0.35955823293626266,-0.6452942428245738,-0.5032234732961758,-0.2046488587660673,-0.4432321163348507,-0.29367478389861024,-0.2395076065553492,-0.30430535039110174,-0.664813858973343,-0.3414811253859025,-0.5735707327315882,-0.37396294682076636,-0.3192254204570082,-0.04249334594828458,-0.8208327900588896,-0.6679943381549127,-0.658046203554528,-0.5378286168645436,-0.31029308469621375,0.08652031806161498,-0.4485701634549861,0.15078903273776584,-0.8954242809348887,-0.6201465170219125,-0.23404794197178203,-0.21176300482898136,-0.05751413416061091,-1.9910009619676599,-0.5844021821001752
CD8+ Active,0.7696796454949211,0.6758181154028517,1.0311276419582323,0.8048517261612269,0.6704617889952713,0.48024966101180544,0.468717911226189,0.7518986624328245,0.33373105187007024,0.7354230968484159,1.0361482799775135,0.481490534872139,0.15401251848809405,0.6976965947736544,0.8663762970491149,0.7986587716280229,0.8434189036398645,0.43994794004023685,0.5412086554933726,1.180770069235607,-0.06154784226633492,0.962518405281827,1.0324216824721675,0.613538254285946,0.5146127141509392,0.4794718754362517,0.47336540096277546,0.6212442170183696,0.6867318144250534,0.5956438236051247,0.80860261747624,-0.18219140943633505
CD8+ Memory,0.4456242953097773,0.3534229667687261,0.06341968412004029,0.3655438287988062,0.3388684332586105,0.20490925792572456,-0.01831596327443341,0.41004268203913297,0.36871205753077363,0.5366497570053541,0.5299717510483126,0.10088040184040103,0.3321367051877484,0.21753658761056816,0.47180102887752984,0.3860900986173328,0.5013449599238984,0.4219253179175366,0.39517402743237007,0.6497755056038041,-0.042498312108287806,0.5231182787535085,0.7453609275072459,0.4467855917928245,0.37073199032424375,0.41300686950299914,0.28592682924181445,0.24421776875716472,0.3192386955315154,1.2467362425921908,0.41420105537185004,-0.14460204185894288
CD8+ Prolif,0.0950100111611547,0.2631394522439594,-0.2587593258843226,0.2606966012790721,0.2214362491173305,-0.17435752299536267,0.0977341724808043,0.32089804181331916,0.2341346621081286,0.2769933875105428,0.359479115406784,0.014126870359977506,0.14161441671000752,0.07365430859604682,0.28839803340071746,0.276566645971144,0.3483360638242008,-0.1880740294042118,0.09066821782061951,0.129724423465853,-0.17900029981801335,0.313015251427083,0.4324570001315071,0.14296968419005895,0.25716384690651756,0.07055821234086657,0.011985280267101661,0.1311523329794988,0.2023470804929024,0.3488245328641415,-0.1633342682332155,-0.1526936185720711
CD8+ TEMRA,-0.23680909936132655,-0.7610277125969795,-0.5840070994254618,-0.7536882167160632,-0.12718085569073256,0.1848146835516582,-0.5731041021968384,-0.4354568015242468,-0.47350988015662,-0.022776261613549842,-0.7822788639378948,-0.9434010852910286,-0.2735504558603701,0.05073459987391171,-0.7020322032233204,-0.7356686752932957,-0.30348934228695734,-0.32472538084782787,-0.3938772223367484,0.7329609359241029,-0.49993920226611577,-0.6854403051643192,-0.5349707404008854,0.018203370624993997,-0.11099336355284439,0.23869553123132503,0.06890582623303976,-0.5975851159805943,-0.69340833764717,2.1398519789123798,-0.5101839071059397,-0.3793731587605089
