gene_set,size,ES,NES,pval,peak_index
Interferon_Response,9,0.9682487076037389,1.6698105375671428,0.00398406374501992,927
Activation_TCR,11,0.8512929783104729,1.4896306380034954,0.00796812749003984,1091
Memory_Stemlike,9,0.7284971160975529,1.1897131092512994,0.1752988047808765,940
Proliferation,8,0.6254624712477244,1.0300813345771067,0.30278884462151395,5386
Apoptosis_Stress,6,0.6389987490080489,0.9997761097669229,0.3386454183266932,5900
Cytotoxicity,10,-0.6024034472092666,-1.1146331577256832,0.09163346613545817,37812
Exhaustion,15,-0.792464900265097,-1.6785530157931732,0.01195219123505976,36420
