gene_set,size,ES,NES,pval,peak_index
Interferon_Response,9,0.8583370875694262,1.7523332631322264,0.00796812749003984,2197
Cytotoxicity,10,0.6549414461887572,1.2578394717094512,0.055776892430278883,1530
Apoptosis_Stress,6,0.5278192740566834,0.893497794331164,0.16334661354581673,106
Proliferation,8,0.3788458335864541,0.6551696215997157,0.26693227091633465,1187
Memory_Stemlike,9,-0.5133939744178155,-0.9122884434171512,0.38247011952191234,36217
Activation_TCR,11,-0.6934937094860605,-1.2454295603961099,0.10358565737051793,35972
Exhaustion,15,-0.7690689064187627,-1.479750288065572,0.0199203187250996,37124
