TF
NFATC1
ASXL1
BRD4
PIM2
HDAC4
KLHL22
BCL2
STAT5B
IRF9
DNMT3A
ETS1
BACH2
TCF7
JUNB
FOXP1
LEF1
Jun
KLF7
STAT3
AHR
FOS
KLF2
ZEB1
FOXO1
GATA3
RBPJ
FOXO3
MDM2
CREM
NR4A2
MAF
NR4A3
RUNX3
STAT5A
EZH2
HDAC3
HAVCR2
HDAC1
NFATC3
BRD7
IKZF3
TBX21
ZEB2
CBLB
EOMES
SIRT2
BHLHE40
ID2
IKZF1
NFATC2
IKZF2
BATF
PRDM1
TET2
HDAC2
RUNX1
TOX
