TF
DNMT3A
EZH2
MYB
TOX2
HDAC3
IRF4
STAT5A
BRD7
TET2
CBLB
BRD4
MDM2
BHLHE40
IKZF2
ETS1
EOMES
HDAC6
ZEB2
PRDM1
SIRT2
TBX21
NFATC2
TOX
HAVCR2
IKZF3
NFATC3
TRIM21
HDAC2
RUNX1
BATF
HDAC1
RUNX3
CREM
NR4A2
NR4A3
STAT3
SOX4
ASXL1
ZEB1
MYC
RBPJ
JUNB
KLF7
LEF1
TCF7
BACH2
AHR
FOXO1
JUN
FOXP1
FOS
GATA3
MAF
FOXO3
ID2
HDAC4
PIM2
NFATC1
STAT5B
BCL2
KLF2
IKZF1
IRF9
KLHL22
