TF1,TF2,R_J,R_D,Rank_J,Rank_D
IKZF3,RBPJ,-0.6363636363636364,-0.5757575757575758,130,80
FOXP1,JUN,0.696969696969697,0.7575757575757576,130,106
HDAC1,IKZF3,0.696969696969697,0.793939393939394,131,79
HDAC4,LEF1,0.696969696969697,0.793939393939394,132,80
TCF7,ZEB2,-0.6363636363636364,-0.4909090909090909,133,130
AHR,HDAC1,-0.6242424242424243,-0.5515151515151515,135,89
FOXO1,NFATC3,-0.6242424242424243,-0.6606060606060606,139,37
HDAC1,JUN,-0.6242424242424243,-0.5757575757575758,140,79
HDAC1,NR4A3,-0.6242424242424243,-0.4909090909090909,141,128
HDAC1,STAT3,-0.6242424242424243,-0.5636363636363636,142,86
FOXO1,RBPJ,0.6848484848484848,0.8545454545454545,143,40
FOXP1,KLF7,0.6848484848484848,0.7212121212121212,145,139
AHR,FOXP1,0.6727272727272727,0.6848484848484848,149,176
ASXL1,BRD4,0.6727272727272727,0.793939393939394,151,77
EOMES,HDAC1,0.6727272727272727,0.8666666666666667,154,29
CBLB,MAF,-0.6,-0.503030303030303,155,121
EOMES,FOXP1,-0.6,-0.6121212121212121,157,59
FOXO1,HAVCR2,-0.6,-0.3818181818181818,159,182
RUNX1,TOX,0.6606060606060606,0.8666666666666667,160,34
AHR,KLF7,0.6484848484848484,0.8181818181818182,162,61
AHR,EOMES,-0.5878787878787879,-0.4545454545454545,163,143
BATF,HDAC2,0.6484848484848484,0.6848484848484848,163,178
CREM,FOS,0.6484848484848484,0.7090909090909091,167,147
FOXP1,LEF1,0.6484848484848484,0.8666666666666667,170,30
GATA3,RBPJ,0.6484848484848484,0.9757575757575756,171,1
HAVCR2,STAT5B,-0.5878787878787879,-0.3818181818181818,172,183
TBX21,TCF7,-0.5878787878787879,-0.7090909090909091,178,23
PRDM1,TOX,0.6484848484848484,0.7818181818181819,178,93
BRD7,NR4A3,0.6363636363636364,-0.4666666666666667,181,136
GATA3,NFATC3,-0.5757575757575758,-0.5878787878787879,183,65
FOS,JUNB,0.6363636363636364,0.7212121212121212,183,138
HDAC4,STAT5B,0.6363636363636364,0.8787878787878788,185,21
NFATC3,ZEB1,-0.5757575757575758,-0.6363636363636364,186,51
TCF7,TOX,-0.5757575757575758,-0.696969696969697,187,27
JUN,STAT5B,0.6363636363636364,0.7212121212121212,187,142
KLF2,TCF7,0.6363636363636364,0.6848484848484848,188,187
BACH2,HDAC2,-0.5636363636363636,-0.6363636363636364,189,46
AHR,FOS,0.6242424242424243,0.9272727272727272,190,6
DNMT3A,HDAC4,0.6242424242424243,0.8181818181818182,193,63
FOXP1,STAT3,0.6242424242424243,0.7090909090909091,195,150
GATA3,HAVCR2,-0.5636363636363636,-0.4181818181818181,195,167
KLF7,RBPJ,0.6242424242424243,0.7818181818181819,197,91
KLF7,ZEB2,-0.5636363636363636,-0.806060606060606,198,8
